,CENTER_CODE,48_to_72hrs,48_to_72_hrs_%,NO_OF_SAMPLES
0,SECUNDERABAD,9,14.75,61
1,Bangalore,9,20.45,44
2,SECUNDERABAD 2,13,29.55,44
3,Warangal,18,42.86,42
4,KURNOOL,13,37.14,35
5,GURGAON 2,20,74.07,27
6,Delhi 2,17,62.96,27
7,ASANSOL,19,76.0,25
8,Jaipur,21,91.3,23
9,DWARAKA,15,71.43,21
